feature,importance,stddev,p_value,n,p99_high,p99_low
encounter_id,0.0,0.0,0.5,5,0.0,0.0
diag_group_unique_count,0.0,0.0,0.5,5,0.0,0.0
treatment_intensity,0.0,0.0,0.5,5,0.0,0.0
is_high_utilizer,0.0,0.0,0.5,5,0.0,0.0
emergency_inpatient_ratio,0.0,0.0,0.5,5,0.0,0.0
acute_utilization,0.0,0.0,0.5,5,0.0,0.0
total_utilization,0.0,0.0,0.5,5,0.0,0.0
has_digestive_diag,0.0,0.0,0.5,5,0.0,0.0
has_respiratory_diag,0.0,0.0,0.5,5,0.0,0.0
has_circulatory_diag,0.0,0.0,0.5,5,0.0,0.0
has_diabetes_diag,0.0,0.0,0.5,5,0.0,0.0
diag_3_group,0.0,0.0,0.5,5,0.0,0.0
med_lab_ratio,0.0,0.0,0.5,5,0.0,0.0
diag_2_group,0.0,0.0,0.5,5,0.0,0.0
diag_1_group,0.0,0.0,0.5,5,0.0,0.0
A1Cresult_observed,0.0,0.0,0.5,5,0.0,0.0
max_glu_serum_observed,0.0,0.0,0.5,5,0.0,0.0
weight_observed,0.0,0.0,0.5,5,0.0,0.0
is_missing__A1Cresult,0.0,0.0,0.5,5,0.0,0.0
is_missing__max_glu_serum,0.0,0.0,0.5,5,0.0,0.0
is_missing__diag_3,0.0,0.0,0.5,5,0.0,0.0
is_missing__diag_2,0.0,0.0,0.5,5,0.0,0.0
lab_proc_ratio,0.0,0.0,0.5,5,0.0,0.0
lab_per_day,0.0,0.0,0.5,5,0.0,0.0
patient_nbr,0.0,0.0,0.5,5,0.0,0.0
on_insulin_flag,0.0,0.0,0.5,5,0.0,0.0
pca_component_8,0.0,0.0,0.5,5,0.0,0.0
pca_component_7,0.0,0.0,0.5,5,0.0,0.0
pca_component_6,0.0,0.0,0.5,5,0.0,0.0
pca_component_5,0.0,0.0,0.5,5,0.0,0.0
pca_component_4,0.0,0.0,0.5,5,0.0,0.0
pca_component_3,0.0,0.0,0.5,5,0.0,0.0
pca_component_2,0.0,0.0,0.5,5,0.0,0.0
pca_component_1,0.0,0.0,0.5,5,0.0,0.0
insulin_changed_flag,0.0,0.0,0.5,5,0.0,0.0
any_med_change_flag,0.0,0.0,0.5,5,0.0,0.0
medications_per_day,0.0,0.0,0.5,5,0.0,0.0
med_changed_count,0.0,0.0,0.5,5,0.0,0.0
med_no_count,0.0,0.0,0.5,5,0.0,0.0
med_steady_count,0.0,0.0,0.5,5,0.0,0.0
med_down_count,0.0,0.0,0.5,5,0.0,0.0
med_up_count,0.0,0.0,0.5,5,0.0,0.0
complexity_index,0.0,0.0,0.5,5,0.0,0.0
very_long_stay_flag,0.0,0.0,0.5,5,0.0,0.0
long_stay_flag,0.0,0.0,0.5,5,0.0,0.0
diagnoses_per_day,0.0,0.0,0.5,5,0.0,0.0
is_missing__diag_1,0.0,0.0,0.5,5,0.0,0.0
is_missing__medical_specialty,0.0,0.0,0.5,5,0.0,0.0
is_missing__payer_code,0.0,0.0,0.5,5,0.0,0.0
is_missing__race,0.0,0.0,0.5,5,0.0,0.0
number_diagnoses,0.0,0.0,0.5,5,0.0,0.0
diag_3,0.0,0.0,0.5,5,0.0,0.0
diag_2,0.0,0.0,0.5,5,0.0,0.0
diag_1,0.0,0.0,0.5,5,0.0,0.0
number_inpatient,0.0,0.0,0.5,5,0.0,0.0
number_emergency,0.0,0.0,0.5,5,0.0,0.0
number_outpatient,0.0,0.0,0.5,5,0.0,0.0
num_medications,0.0,0.0,0.5,5,0.0,0.0
num_procedures,0.0,0.0,0.5,5,0.0,0.0
num_lab_procedures,0.0,0.0,0.5,5,0.0,0.0
medical_specialty,0.0,0.0,0.5,5,0.0,0.0
payer_code,0.0,0.0,0.5,5,0.0,0.0
time_in_hospital,0.0,0.0,0.5,5,0.0,0.0
admission_source_id,0.0,0.0,0.5,5,0.0,0.0
admission_type_id,0.0,0.0,0.5,5,0.0,0.0
weight,0.0,0.0,0.5,5,0.0,0.0
age,0.0,0.0,0.5,5,0.0,0.0
gender,0.0,0.0,0.5,5,0.0,0.0
race,0.0,0.0,0.5,5,0.0,0.0
max_glu_serum,0.0,0.0,0.5,5,0.0,0.0
A1Cresult,0.0,0.0,0.5,5,0.0,0.0
metformin,0.0,0.0,0.5,5,0.0,0.0
repaglinide,0.0,0.0,0.5,5,0.0,0.0
weight_missing_flag,0.0,0.0,0.5,5,0.0,0.0
weight_mid,0.0,0.0,0.5,5,0.0,0.0
age_mid,0.0,0.0,0.5,5,0.0,0.0
diabetesMed,0.0,0.0,0.5,5,0.0,0.0
change,0.0,0.0,0.5,5,0.0,0.0
glyburide-metformin,0.0,0.0,0.5,5,0.0,0.0
insulin,0.0,0.0,0.5,5,0.0,0.0
tolazamide,0.0,0.0,0.5,5,0.0,0.0
miglitol,0.0,0.0,0.5,5,0.0,0.0
acarbose,0.0,0.0,0.5,5,0.0,0.0
rosiglitazone,0.0,0.0,0.5,5,0.0,0.0
pioglitazone,0.0,0.0,0.5,5,0.0,0.0
tolbutamide,0.0,0.0,0.5,5,0.0,0.0
glyburide,0.0,0.0,0.5,5,0.0,0.0
glipizide,0.0,0.0,0.5,5,0.0,0.0
acetohexamide,0.0,0.0,0.5,5,0.0,0.0
glimepiride,0.0,0.0,0.5,5,0.0,0.0
chlorpropamide,0.0,0.0,0.5,5,0.0,0.0
nateglinide,0.0,0.0,0.5,5,0.0,0.0
pca_cluster,0.0,0.0,0.5,5,0.0,0.0
discharge_disposition_id,-0.0022727272727272817,0.0031120599858248197,0.9110960958218894,5,0.004135047251326081,-0.008680501796780645
